subject_ID,lemma,gender,age,education,grade,error
website626,worden,female,15,vocational,Gr2,1
website626,worden,female,15,vocational,Gr2,1
website626,worden,female,15,vocational,Gr2,1
website626,worden,female,15,vocational,Gr2,1
website630,worden,female,15,vocational,Gr2,1
website638,worden,male,16,vocational,Gr2,1
website638,worden,male,16,vocational,Gr2,1
website638,worden,male,16,vocational,Gr2,1
website639,worden,female,16,vocational,Gr2,0
website639,worden,female,16,vocational,Gr2,0
website639,worden,female,16,vocational,Gr2,1
website641,worden,male,16,vocational,Gr2,1
website643,worden,male,17,vocational,Gr3,1
website644,worden,female,17,vocational,Gr3,0
website644,worden,female,17,vocational,Gr3,1
website644,worden,female,17,vocational,Gr3,1
website644,worden,female,17,vocational,Gr3,1
website647,worden,female,16,vocational,Gr2,0
website647,worden,female,16,vocational,Gr2,0
website647,worden,female,16,vocational,Gr2,1
website647,worden,female,16,vocational,Gr2,1
website654,worden,male,15,vocational,Gr2,1
website659,worden,male,15,vocational,Gr2,0
website659,worden,male,15,vocational,Gr2,1
website659,worden,male,15,vocational,Gr2,1
website659,worden,male,15,vocational,Gr2,1
website662,worden,male,16,vocational,Gr2,0
website662,worden,male,16,vocational,Gr2,0
website662,worden,male,15,vocational,Gr2,0
website662,worden,male,16,vocational,Gr2,1
website662,worden,male,16,vocational,Gr2,1
website662,worden,male,16,vocational,Gr2,1
website668,worden,female,16,vocational,Gr2,0
website668,worden,female,16,vocational,Gr2,0
website668,worden,female,16,vocational,Gr2,1
website669,worden,female,15,vocational,Gr2,1
website669,worden,female,18,vocational,Gr3,1
website670,worden,female,17,vocational,Gr3,0
website670,worden,female,17,vocational,Gr3,1
website674,worden,female,17,vocational,Gr3,0
website674,worden,female,17,vocational,Gr3,1
website674,worden,female,17,vocational,Gr3,1
website693,worden,male,17,vocational,Gr3,1
website693,worden,male,17,vocational,Gr3,1
website7,worden,male,16,vocational,Gr2,1
website7,worden,male,16,vocational,Gr2,1
website7,worden,male,16,vocational,Gr2,1
website7,worden,male,16,vocational,Gr2,1
website7,worden,male,16,vocational,Gr2,1
website8,worden,male,16,general,Gr2,1
website8,worden,male,17,general,Gr3,1
website8,worden,male,17,general,Gr3,1
21,worden,male,15,general,Gr2,0
21,worden,male,15,general,Gr2,0
21,worden,male,15,general,Gr2,0
27,worden,male,15,general,Gr2,0
27,worden,male,15,general,Gr2,0
36,worden,male,15,general,Gr2,0
41,worden,female,15,general,Gr2,1
117,worden,female,16,vocational,Gr2,0
117,worden,female,16,vocational,Gr2,0
117,worden,female,16,vocational,Gr2,0
117,worden,female,16,vocational,Gr2,0
119,worden,male,16,technical,Gr2,0
119,worden,male,16,technical,Gr2,0
129,worden,male,15,vocational,Gr2,0
159,worden,female,16,general,Gr2,0
175,worden,male,16,vocational,Gr2,0
190,worden,male,16,technical,Gr2,0
195,worden,female,17,general,Gr3,0
195,worden,female,17,general,Gr3,0
200,worden,female,17,general,Gr3,0
224,worden,male,17,technical,Gr3,0
224,worden,male,17,technical,Gr3,0
228,worden,male,17,technical,Gr3,0
230,worden,male,16,general,Gr2,0
230,worden,male,16,general,Gr2,0
230,worden,male,16,general,Gr2,0
230,worden,male,16,general,Gr2,0
230,worden,male,16,general,Gr2,0
230,worden,male,16,general,Gr2,1
231,worden,male,15,vocational,Gr2,0
232,worden,male,15,technical,Gr2,0
232,worden,male,15,technical,Gr2,0
239,worden,female,16,general,Gr2,0
243,worden,female,15,technical,Gr2,0
243,worden,female,15,technical,Gr2,0
243,worden,female,15,technical,Gr2,0
243,worden,female,15,technical,Gr2,0
244,worden,female,15,general,Gr2,0
244,worden,female,15,general,Gr2,0
244,worden,female,15,general,Gr2,0
244,worden,female,15,general,Gr2,0
244,worden,female,15,general,Gr2,0
246,worden,female,16,general,Gr2,0
260,worden,male,16,general,Gr2,0
260,worden,male,16,general,Gr2,0
265,worden,female,16,general,Gr2,0
265,worden,female,16,general,Gr2,0
271,worden,male,17,general,Gr3,0
285,worden,female,16,general,Gr2,0
285,worden,female,17,general,Gr3,0
285,worden,female,17,general,Gr3,0
287,worden,female,17,general,Gr3,0
288,worden,male,17,general,Gr3,0
288,worden,male,17,general,Gr3,0
288,worden,male,16,general,Gr2,0
309,worden,male,17,general,Gr3,0
310,worden,female,16,general,Gr2,0
310,worden,female,16,general,Gr2,0
310,worden,female,16,general,Gr2,0
311,worden,female,16,general,Gr2,0
311,worden,female,17,general,Gr3,0
311,worden,female,17,general,Gr3,0
311,worden,female,17,general,Gr3,0
314,worden,female,15,general,Gr2,0
324,worden,female,16,technical,Gr2,0
324,worden,female,17,technical,Gr3,0
324,worden,female,17,technical,Gr3,0
324,worden,female,16,technical,Gr2,0
324,worden,female,16,technical,Gr2,0
324,worden,female,16,technical,Gr2,0
324,worden,female,17,technical,Gr3,0
324,worden,female,16,technical,Gr2,0
324,worden,female,16,technical,Gr2,0
324,worden,female,16,technical,Gr2,0
324,worden,female,17,technical,Gr3,0
324,worden,female,16,technical,Gr2,0
324,worden,female,16,technical,Gr2,0
324,worden,female,16,technical,Gr2,0
324,worden,female,16,technical,Gr2,0
324,worden,female,17,technical,Gr3,0
324,worden,female,17,technical,Gr3,0
324,worden,female,16,technical,Gr2,0
324,worden,female,16,technical,Gr2,0
324,worden,female,16,technical,Gr2,0
324,worden,female,16,technical,Gr2,0
324,worden,female,16,technical,Gr2,0
324,worden,female,16,technical,Gr2,0
324,worden,female,16,technical,Gr2,0
324,worden,female,17,technical,Gr3,0
324,worden,female,16,technical,Gr2,0
324,worden,female,17,technical,Gr3,0
324,worden,female,16,technical,Gr2,0
324,worden,female,16,technical,Gr2,0
324,worden,female,16,technical,Gr2,0
324,worden,female,16,technical,Gr2,0
324,worden,female,16,technical,Gr2,1
324,worden,female,16,technical,Gr2,1
324,worden,female,16,technical,Gr2,1
324,worden,female,16,technical,Gr2,1
324,worden,female,17,technical,Gr3,1
325,worden,male,17,general,Gr3,0
326,worden,female,16,general,Gr2,0
326,worden,female,16,general,Gr2,0
328,worden,female,16,general,Gr2,0
328,worden,female,16,general,Gr2,0
328,worden,female,17,general,Gr3,0
334,worden,male,17,general,Gr3,0
334,worden,male,17,general,Gr3,0
334,worden,male,17,general,Gr3,1
335,worden,female,15,general,Gr2,0
335,worden,female,15,general,Gr2,0
336,worden,female,16,general,Gr2,0
336,worden,female,16,general,Gr2,0
336,worden,female,16,general,Gr2,0
336,worden,female,16,general,Gr2,0
336,worden,female,16,general,Gr2,0
336,worden,female,16,general,Gr2,0
339,worden,male,16,general,Gr2,0
341,worden,female,17,technical,Gr3,0
342,worden,female,16,general,Gr2,0
342,worden,female,17,general,Gr3,0
342,worden,female,17,general,Gr3,0
342,worden,female,16,general,Gr2,1
345,worden,male,17,general,Gr3,0
345,worden,male,18,general,Gr3,0
350,worden,male,17,general,Gr3,0
350,worden,male,17,general,Gr3,0
350,worden,male,17,general,Gr3,0
350,worden,male,16,general,Gr2,0
355,worden,female,17,technical,Gr3,0
355,worden,female,18,technical,Gr3,1
404,worden,female,16,technical,Gr2,0
404,worden,female,16,technical,Gr2,0
404,worden,female,16,technical,Gr2,1
408,worden,male,17,technical,Gr3,1
428,worden,male,17,technical,Gr3,0
428,worden,male,17,technical,Gr3,0
429,worden,female,17,general,Gr3,0
429,worden,female,18,general,Gr3,0
429,worden,female,18,general,Gr3,0
429,worden,female,18,general,Gr3,0
429,worden,female,18,general,Gr3,0
429,worden,female,18,general,Gr3,0
429,worden,female,18,general,Gr3,1
433,worden,female,17,general,Gr3,1
437,worden,male,15,technical,Gr2,0
438,worden,male,17,general,Gr3,0
438,worden,male,17,general,Gr3,0
438,worden,male,17,general,Gr3,0
438,worden,male,17,general,Gr3,0
438,worden,male,17,general,Gr3,0
